eta0,eta1,eta2,eta3
1.500000013038516045e-03,9.613000154495239258e-01,-2.659999951720237732e-02,1.176699995994567871e+00
1.700000022538006306e-03,9.771999716758728027e-01,-9.200000204145908356e-03,1.182299971580505371e+00
2.300000051036477089e-03,9.990000128746032715e-01,-4.659999907016754150e-01,7.091000080108642578e-01
1.700000022538006306e-03,9.782000184059143066e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.792000055313110352e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.674000144004821777e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,1.002200007438659668e+00,-9.200000204145908356e-03,1.182999968528747559e+00
1.799999969080090523e-03,1.026800036430358887e+00,-8.899999782443046570e-03,1.180600047111511230e+00
1.799999969080090523e-03,1.039499998092651367e+00,-8.999999612569808960e-03,1.181800007820129395e+00
1.700000022538006306e-03,9.890000224113464355e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.800999760627746582e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.799999969080090523e-03,1.036700010299682617e+00,-8.899999782443046570e-03,1.180699944496154785e+00
1.700000022538006306e-03,9.782999753952026367e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.880999922752380371e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.546999931335449219e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.799999969080090523e-03,1.026800036430358887e+00,-8.899999782443046570e-03,1.180600047111511230e+00
1.700000022538006306e-03,9.792000055313110352e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,9.674000144004821777e-01,-9.200000204145908356e-03,1.182299971580505371e+00
1.700000022538006306e-03,1.002200007438659668e+00,-9.200000204145908356e-03,1.182999968528747559e+00
